,astA_AB_MRM1
782,43.60000229
783,43.62000275
784,43.60000229
785,43.62000275
786,43.6400032
787,43.62000275
788,43.6400032
789,43.72000122
790,43.70000458
791,43.70000458
792,43.80000305
793,43.86000443
794,43.86000443
795,43.78000259
796,43.76000214
797,43.68000412
798,43.62000275
799,43.62000275
800,43.60000229
801,43.50000381
802,43.60000229
803,43.6400032
804,43.70000458
805,43.60000229
806,43.66000366
807,43.74000168
808,43.76000214
809,43.74000168
810,43.68000412
811,43.56000137
812,43.62000275
813,43.68000412
814,43.72000122
815,43.68000412
816,43.62000275
817,43.56000137
818,43.50000381
819,43.52000427
820,43.48000336
821,43.42000198
822,43.36000443
823,43.30000305
824,43.38000488
825,43.36000443
826,43.36000443
827,43.38000488
828,43.36000443
829,43.38000488
830,43.38000488
831,43.42000198
832,43.4600029
833,43.36000443
834,43.36000443
835,43.38000488
836,43.40000153
837,43.42000198
838,43.30000305
839,43.26000214
840,43.20000458
841,43.22000122
842,43.24000168
843,43.28000259
844,43.44000244
845,43.42000198
846,43.52000427
847,43.58000183
848,43.62000275
849,43.70000458
850,43.66000366
851,43.72000122
852,43.72000122
853,43.58000183
854,43.6400032
855,43.62000275
856,43.70000458
857,43.68000412
858,43.60000229
859,43.54000473
860,43.44000244
861,43.36000443
862,43.34000397
863,43.24000168
864,43.22000122
865,43.20000458
866,43.38000488
867,43.44000244
868,43.4600029
869,43.52000427
870,43.6400032
871,43.70000458
872,43.66000366
873,43.72000122
874,43.62000275
875,43.52000427
876,43.4600029
877,43.40000153
878,43.36000443
879,43.24000168
880,43.18000412
881,43.20000458
882,43.16000366
883,43.1400032
884,43.1400032
885,43.16000366
886,43.16000366
887,43.08000183
888,43.08000183
889,43.02000427
890,42.9600029
891,42.90000153
892,42.92000198
893,42.90000153
894,42.88000488
895,42.90000153
896,42.90000153
897,42.94000244
898,42.98000336
899,42.98000336
900,42.9600029
901,43.08000183
902,43.12000275
903,43.1400032
904,43.1400032
905,43.1400032
906,43.06000137
907,43.04000473
908,43.08000183
909,43.06000137
910,42.94000244
911,42.88000488
912,42.88000488
913,42.92000198
914,42.90000153
915,42.88000488
916,42.86000443
917,42.80000305
918,42.80000305
919,42.76000214
920,42.78000259
921,42.78000259
922,42.80000305
923,42.82000351
924,42.82000351
925,42.86000443
926,42.88000488
927,42.88000488
928,42.92000198
929,42.90000153
930,42.92000198
931,42.90000153
932,42.90000153
933,42.92000198
934,42.88000488
935,42.86000443
936,42.86000443
937,42.82000351
938,42.80000305
939,42.78000259
940,42.72000122
941,42.76000214
942,42.74000168
943,42.82000351
944,42.84000397
945,42.88000488
946,42.90000153
947,42.90000153
948,42.90000153
949,42.90000153
950,42.84000397
951,42.84000397
952,42.80000305
953,42.80000305
954,42.76000214
955,42.80000305
956,42.84000397
957,42.86000443
958,42.84000397
959,42.84000397
960,42.86000443
961,42.86000443
962,42.86000443
963,42.86000443
964,42.82000351
965,42.80000305
966,42.80000305
967,42.80000305
968,42.80000305
969,42.76000214
970,42.84000397
971,42.86000443
972,42.88000488
973,42.88000488
974,42.86000443
975,42.86000443
976,42.84000397
977,42.90000153
978,43.02000427
979,42.94000244
980,42.9600029
981,42.98000336
982,42.98000336
983,42.9600029
984,42.94000244
985,42.90000153
986,42.84000397
987,42.72000122
988,42.72000122
989,42.72000122
990,42.72000122
991,42.76000214
992,42.76000214
993,42.76000214
994,42.76000214
995,42.74000168
996,42.74000168
997,42.72000122
998,42.72000122
999,42.70000458
1000,42.66000366
1001,42.66000366
1002,42.66000366
1003,42.66000366
1004,42.66000366
1005,42.6400032
1006,42.6400032
1007,42.6400032
1008,42.6400032
1009,42.6400032
1010,42.6400032
1011,42.66000366
1012,42.66000366
1013,42.70000458
1014,42.70000458
1015,42.70000458
1016,42.70000458
1017,42.70000458
1018,42.70000458
1019,42.70000458
1020,42.66000366
1021,42.66000366
1022,42.6400032
1023,42.6400032
1024,42.66000366
1025,42.66000366
1026,42.70000458
1027,42.72000122
1028,42.72000122
1029,42.74000168
1030,42.74000168
1031,42.74000168
1032,42.74000168
1033,42.74000168
1034,42.74000168
1035,42.70000458
1036,42.74000168
1037,42.74000168
1038,42.72000122
1039,42.74000168
1040,42.74000168
1041,42.72000122
1042,42.72000122
1043,42.72000122
1044,42.72000122
1045,42.70000458
1046,42.70000458
1047,42.72000122
1048,42.72000122
1049,42.72000122
1050,42.72000122
1051,42.70000458
1052,42.70000458
1053,42.76000214
1054,42.76000214
1055,42.78000259
1056,42.84000397
1057,42.84000397
1058,42.86000443
1059,42.92000198
1060,42.94000244
1061,42.94000244
1062,42.92000198
1063,42.92000198
1064,42.92000198
1065,42.84000397
1066,42.84000397
1067,42.80000305
1068,42.74000168
1069,42.72000122
1070,42.70000458
1071,42.68000412
1072,42.72000122
1073,42.74000168
1074,42.82000351
1075,42.86000443
1076,42.88000488
1077,42.90000153
1078,42.90000153
1079,42.88000488
1080,42.86000443
1081,42.80000305
1082,42.86000443
1083,42.88000488
1084,42.90000153
1085,42.92000198
1086,42.9600029
1087,43.00000381
1088,42.98000336
1089,42.98000336
1090,42.9600029
1091,42.88000488
1092,42.82000351
1093,42.80000305
1094,42.82000351
1095,42.80000305
1096,42.76000214
1097,42.78000259
1098,42.76000214
1099,42.80000305
1100,42.86000443
1101,42.88000488
1102,42.90000153
1103,42.90000153
1104,42.92000198
1105,42.92000198
1106,42.94000244
1107,42.94000244
1108,42.92000198
1109,42.86000443
1110,42.84000397
1111,42.94000244
1112,42.92000198
1113,42.90000153
1114,42.92000198
