"#""+ESI MRM Frag=135.0V CF=0.000 DF=0.000 (245.10000 -> 209.10000) astA_AB_MRM1.d """,,
#Point,X(Minutes),Y(Counts)
715,10.18,43.84000397
716,10.18,43.84000397
717,10.19,43.78000259
718,10.2,43.72000122
719,10.2,43.86000443
720,10.21,43.94000244
721,10.22,43.92000198
722,10.22,43.92000198
723,10.23,43.78000259
724,10.24,43.90000153
725,10.25,43.94000244
726,10.25,43.94000244
727,10.26,43.9600029
728,10.27,43.80000305
729,10.27,43.78000259
730,10.28,43.74000168
731,10.29,43.74000168
732,10.29,43.76000214
733,10.3,43.60000229
734,10.31,43.56000137
735,10.31,43.50000381
736,10.32,43.48000336
737,10.33,43.4600029
738,10.33,43.44000244
739,10.34,43.44000244
740,10.35,43.48000336
741,10.35,43.42000198
742,10.36,43.4600029
743,10.37,43.4600029
744,10.37,43.48000336
745,10.38,43.50000381
746,10.39,43.54000473
747,10.39,43.58000183
748,10.4,43.74000168
749,10.41,43.76000214
750,10.42,44.02000427
751,10.42,44.12000275
752,10.43,44.26000214
753,10.44,44.42000198
754,10.44,44.40000153
755,10.45,44.30000305
756,10.46,44.32000351
757,10.46,44.32000351
758,10.47,44.30000305
759,10.48,44.16000366
760,10.48,44.12000275
761,10.49,44.04000473
762,10.5,44.00000381
763,10.5,44.02000427
764,10.51,43.9600029
765,10.52,43.86000443
766,10.52,43.82000351
767,10.53,43.84000397
768,10.54,43.82000351
769,10.54,43.74000168
770,10.55,43.6400032
771,10.56,43.54000473
772,10.56,43.48000336
773,10.57,43.48000336
774,10.58,43.38000488
775,10.58,43.26000214
776,10.59,43.22000122
777,10.6,43.26000214
778,10.61,43.40000153
779,10.61,43.54000473
780,10.62,43.54000473
781,10.63,43.52000427
782,10.63,43.60000229
783,10.64,43.62000275
784,10.65,43.60000229
785,10.65,43.62000275
786,10.66,43.6400032
787,10.67,43.62000275
788,10.67,43.6400032
789,10.68,43.72000122
790,10.69,43.70000458
791,10.69,43.70000458
792,10.7,43.80000305
793,10.71,43.86000443
794,10.71,43.86000443
795,10.72,43.78000259
796,10.73,43.76000214
797,10.73,43.68000412
798,10.74,43.62000275
799,10.75,43.62000275
800,10.75,43.60000229
801,10.76,43.50000381
802,10.77,43.60000229
803,10.78,43.6400032
804,10.78,43.70000458
805,10.79,43.60000229
806,10.8,43.66000366
807,10.8,43.74000168
808,10.81,43.76000214
809,10.82,43.74000168
810,10.82,43.68000412
811,10.83,43.56000137
812,10.84,43.62000275
813,10.84,43.68000412
814,10.85,43.72000122
815,10.86,43.68000412
816,10.86,43.62000275
817,10.87,43.56000137
818,10.88,43.50000381
819,10.88,43.52000427
820,10.89,43.48000336
821,10.9,43.42000198
822,10.9,43.36000443
823,10.91,43.30000305
824,10.92,43.38000488
825,10.92,43.36000443
826,10.93,43.36000443
827,10.94,43.38000488
828,10.94,43.36000443
829,10.95,43.38000488
830,10.96,43.38000488
831,10.97,43.42000198
832,10.97,43.4600029
833,10.98,43.36000443
834,10.99,43.36000443
835,10.99,43.38000488
836,11,43.40000153
837,11.01,43.42000198
838,11.01,43.30000305
839,11.02,43.26000214
840,11.03,43.20000458
841,11.03,43.22000122
842,11.04,43.24000168
843,11.05,43.28000259
844,11.05,43.44000244
845,11.06,43.42000198
846,11.07,43.52000427
847,11.07,43.58000183
848,11.08,43.62000275
849,11.09,43.70000458
850,11.09,43.66000366
851,11.1,43.72000122
852,11.11,43.72000122
853,11.11,43.58000183
854,11.12,43.6400032
855,11.13,43.62000275
856,11.14,43.70000458
857,11.14,43.68000412
858,11.15,43.60000229
859,11.16,43.54000473
860,11.16,43.44000244
861,11.17,43.36000443
862,11.18,43.34000397
863,11.18,43.24000168
864,11.19,43.22000122
865,11.2,43.20000458
866,11.2,43.38000488
867,11.21,43.44000244
868,11.22,43.4600029
869,11.22,43.52000427
870,11.23,43.6400032
871,11.24,43.70000458
872,11.24,43.66000366
873,11.25,43.72000122
874,11.26,43.62000275
875,11.26,43.52000427
876,11.27,43.4600029
877,11.28,43.40000153
878,11.28,43.36000443
879,11.29,43.24000168
880,11.3,43.18000412
881,11.3,43.20000458
882,11.31,43.16000366
883,11.32,43.1400032
884,11.33,43.1400032
885,11.33,43.16000366
886,11.34,43.16000366
887,11.35,43.08000183
888,11.35,43.08000183
889,11.36,43.02000427
890,11.37,42.9600029
891,11.37,42.90000153
892,11.38,42.92000198
893,11.39,42.90000153
894,11.39,42.88000488
895,11.4,42.90000153
896,11.41,42.90000153
897,11.41,42.94000244
898,11.42,42.98000336
899,11.43,42.98000336
900,11.43,42.9600029
901,11.44,43.08000183
902,11.45,43.12000275
903,11.45,43.1400032
904,11.46,43.1400032
905,11.47,43.1400032
906,11.47,43.06000137
907,11.48,43.04000473
908,11.49,43.08000183
909,11.5,43.06000137
910,11.5,42.94000244
911,11.51,42.88000488
912,11.52,42.88000488
913,11.52,42.92000198
914,11.53,42.90000153
915,11.54,42.88000488
916,11.54,42.86000443
917,11.55,42.80000305
918,11.56,42.80000305
919,11.56,42.76000214
920,11.57,42.78000259
921,11.58,42.78000259
922,11.58,42.80000305
923,11.59,42.82000351
924,11.6,42.82000351
925,11.6,42.86000443
926,11.61,42.88000488
927,11.62,42.88000488
928,11.62,42.92000198
929,11.63,42.90000153
930,11.64,42.92000198
931,11.64,42.90000153
932,11.65,42.90000153
933,11.66,42.92000198
934,11.66,42.88000488
935,11.67,42.86000443
936,11.68,42.86000443
937,11.69,42.82000351
938,11.69,42.80000305
939,11.7,42.78000259
940,11.71,42.72000122
941,11.71,42.76000214
942,11.72,42.74000168
943,11.73,42.82000351
944,11.73,42.84000397
945,11.74,42.88000488
946,11.75,42.90000153
947,11.75,42.90000153
948,11.76,42.90000153
949,11.77,42.90000153
950,11.77,42.84000397
951,11.78,42.84000397
952,11.79,42.80000305
953,11.79,42.80000305
954,11.8,42.76000214
955,11.81,42.80000305
956,11.81,42.84000397
957,11.82,42.86000443
958,11.83,42.84000397
959,11.83,42.84000397
960,11.84,42.86000443
961,11.85,42.86000443
962,11.85,42.86000443
963,11.86,42.86000443
964,11.87,42.82000351
965,11.88,42.80000305
966,11.88,42.80000305
967,11.89,42.80000305
968,11.9,42.80000305
969,11.9,42.76000214
970,11.91,42.84000397
971,11.92,42.86000443
972,11.92,42.88000488
973,11.93,42.88000488
974,11.94,42.86000443
975,11.94,42.86000443
976,11.95,42.84000397
977,11.96,42.90000153
978,11.96,43.02000427
979,11.97,42.94000244
980,11.98,42.9600029
981,11.98,42.98000336
982,11.99,42.98000336
983,12,42.9600029
984,12,42.94000244
985,12.01,42.90000153
986,12.02,42.84000397
987,12.02,42.72000122
988,12.03,42.72000122
989,12.04,42.72000122
990,12.05,42.72000122
991,12.05,42.76000214
992,12.06,42.76000214
993,12.07,42.76000214
994,12.07,42.76000214
995,12.08,42.74000168
996,12.09,42.74000168
997,12.09,42.72000122
998,12.1,42.72000122
999,12.11,42.70000458
1000,12.11,42.66000366
1001,12.12,42.66000366
1002,12.13,42.66000366
1003,12.13,42.66000366
1004,12.14,42.66000366
1005,12.15,42.6400032
1006,12.15,42.6400032
1007,12.16,42.6400032
1008,12.17,42.6400032
1009,12.17,42.6400032
1010,12.18,42.6400032
1011,12.19,42.66000366
1012,12.19,42.66000366
1013,12.2,42.70000458
1014,12.21,42.70000458
1015,12.21,42.70000458
1016,12.22,42.70000458
1017,12.23,42.70000458
1018,12.24,42.70000458
1019,12.24,42.70000458
1020,12.25,42.66000366
1021,12.26,42.66000366
1022,12.26,42.6400032
1023,12.27,42.6400032
1024,12.28,42.66000366
1025,12.28,42.66000366
1026,12.29,42.70000458
1027,12.3,42.72000122
1028,12.3,42.72000122
1029,12.31,42.74000168
1030,12.32,42.74000168
1031,12.32,42.74000168
1032,12.33,42.74000168
1033,12.34,42.74000168
1034,12.34,42.74000168
1035,12.35,42.70000458
1036,12.36,42.74000168
1037,12.36,42.74000168
1038,12.37,42.72000122
1039,12.38,42.74000168
1040,12.38,42.74000168
1041,12.39,42.72000122
1042,12.4,42.72000122
1043,12.41,42.72000122
1044,12.41,42.72000122
1045,12.42,42.70000458
1046,12.43,42.70000458
1047,12.43,42.72000122
1048,12.44,42.72000122
1049,12.45,42.72000122
1050,12.45,42.72000122
1051,12.46,42.70000458
1052,12.47,42.70000458
1053,12.47,42.76000214
1054,12.48,42.76000214
1055,12.49,42.78000259
1056,12.49,42.84000397
1057,12.5,42.84000397
1058,12.51,42.86000443
1059,12.51,42.92000198
1060,12.52,42.94000244
1061,12.53,42.94000244
1062,12.53,42.92000198
1063,12.54,42.92000198
1064,12.55,42.92000198
1065,12.55,42.84000397
1066,12.56,42.84000397
1067,12.57,42.80000305
1068,12.57,42.74000168
1069,12.58,42.72000122
1070,12.59,42.70000458
1071,12.6,42.68000412
1072,12.6,42.72000122
1073,12.61,42.74000168
1074,12.62,42.82000351
1075,12.62,42.86000443
1076,12.63,42.88000488
1077,12.64,42.90000153
1078,12.64,42.90000153
1079,12.65,42.88000488
1080,12.66,42.86000443
1081,12.66,42.80000305
1082,12.67,42.86000443
1083,12.68,42.88000488
1084,12.68,42.90000153
1085,12.69,42.92000198
1086,12.7,42.9600029
1087,12.7,43.00000381
1088,12.71,42.98000336
1089,12.72,42.98000336
1090,12.72,42.9600029
1091,12.73,42.88000488
1092,12.74,42.82000351
1093,12.74,42.80000305
1094,12.75,42.82000351
1095,12.76,42.80000305
1096,12.77,42.76000214
1097,12.77,42.78000259
1098,12.78,42.76000214
1099,12.79,42.80000305
1100,12.79,42.86000443
1101,12.8,42.88000488
1102,12.81,42.90000153
1103,12.81,42.90000153
1104,12.82,42.92000198
1105,12.83,42.92000198
1106,12.83,42.94000244
1107,12.84,42.94000244
1108,12.85,42.92000198
1109,12.85,42.86000443
1110,12.86,42.84000397
1111,12.87,42.94000244
1112,12.87,42.92000198
1113,12.88,42.90000153
